en_EN
{"name":"en-EN","fullName":"English"}
fillFormat: key;description;original;translate;
VideoSettings;;Video Settings;Video Settings;
NewGame;;New Game;New Game;
QuitGame;;Quit Game;Quit Game;
Settings;;Settings;Settings;
VideoSetting.AntiAliasing;;;key.VideoSetting.AntiAliasing;
